Image L2 Norms:
Iteration 1: 33.0444221496582
Iteration 2: 31.393281936645508
Iteration 3: 30.922996520996094
Iteration 4: 30.598787307739258
Iteration 5: 30.335554122924805
Iteration 6: 30.10105323791504
Iteration 7: 29.90386390686035
Iteration 8: 29.740076065063477
Iteration 9: 29.616369247436523
Iteration 10: 29.526065826416016
Iteration 11: 29.46089744567871
Iteration 12: 29.41585350036621
Iteration 13: 29.384754180908203
Iteration 14: 29.361289978027344
Iteration 15: 29.343679428100586
Iteration 16: 29.330659866333008
Iteration 17: 29.321168899536133
Iteration 18: 29.314241409301758
Iteration 19: 29.308795928955078
Iteration 20: 29.30558967590332
Iteration 21: 29.30345916748047
Iteration 22: 29.3021240234375
Iteration 23: 29.301162719726562
Iteration 24: 29.300443649291992
Iteration 25: 29.29996109008789
Iteration 26: 29.299346923828125
Iteration 27: 29.299097061157227
Iteration 28: 29.298891067504883
Iteration 29: 29.29869270324707
Iteration 30: 29.298725128173828
Iteration 31: 29.298471450805664
Iteration 32: 29.298362731933594
Iteration 33: 29.298450469970703
Iteration 34: 29.298280715942383
Iteration 35: 29.29827880859375
Iteration 36: 29.29821014404297
Iteration 37: 29.29827117919922
Iteration 38: 29.2982177734375
Iteration 39: 29.29813575744629
Iteration 40: 29.29805564880371
Iteration 41: 29.298076629638672
Iteration 42: 29.29801368713379
Iteration 43: 29.298011779785156
Iteration 44: 29.298011779785156
Iteration 45: 29.29808807373047
Iteration 46: 29.297971725463867
Iteration 47: 29.298004150390625
Iteration 48: 29.298181533813477
Iteration 49: 29.29810905456543
Iteration 50: 29.29810905456543
Iteration 51: 29.29816436767578
Iteration 52: 29.29810905456543
Iteration 53: 29.298063278198242
Iteration 54: 29.298063278198242
