Image L2 Norms:
Iteration 1: 44.580833435058594
Iteration 2: 41.861637115478516
Iteration 3: 40.7040901184082
Iteration 4: 40.188533782958984
Iteration 5: 39.94761276245117
Iteration 6: 39.81187057495117
Iteration 7: 39.7217903137207
Iteration 8: 39.65435791015625
Iteration 9: 39.592979431152344
Iteration 10: 39.52696228027344
Iteration 11: 39.448638916015625
Iteration 12: 39.343116760253906
Iteration 13: 39.21660232543945
Iteration 14: 39.10236358642578
Iteration 15: 39.02227783203125
Iteration 16: 38.96881866455078
Iteration 17: 38.9306526184082
Iteration 18: 38.90181350708008
Iteration 19: 38.880821228027344
Iteration 20: 38.86562728881836
Iteration 21: 38.855342864990234
Iteration 22: 38.84739303588867
Iteration 23: 38.842525482177734
Iteration 24: 38.839202880859375
Iteration 25: 38.83692932128906
Iteration 26: 38.83530807495117
Iteration 27: 38.83442687988281
Iteration 28: 38.833152770996094
Iteration 29: 38.83251953125
Iteration 30: 38.8315544128418
Iteration 31: 38.83072280883789
Iteration 32: 38.83016586303711
Iteration 33: 38.8298454284668
Iteration 34: 38.82978820800781
Iteration 35: 38.82951354980469
Iteration 36: 38.82929229736328
Iteration 37: 38.82907485961914
Iteration 38: 38.82896423339844
Iteration 39: 38.82876968383789
Iteration 40: 38.82880401611328
Iteration 41: 38.828792572021484
Iteration 42: 38.828853607177734
Iteration 43: 38.82870864868164
Iteration 44: 38.828678131103516
Iteration 45: 38.82868576049805
Iteration 46: 38.82860565185547
Iteration 47: 38.82868194580078
Iteration 48: 38.82855987548828
Iteration 49: 38.828582763671875
Iteration 50: 38.8283805847168
Iteration 51: 38.828521728515625
Iteration 52: 38.82840347290039
Iteration 53: 38.8284797668457
Iteration 54: 38.82841873168945
Iteration 55: 38.82844161987305
Iteration 56: 38.82844161987305
Iteration 57: 38.82846450805664
Iteration 58: 38.82862091064453
Iteration 59: 38.82835006713867
Iteration 60: 38.828372955322266
Iteration 61: 38.82828140258789
Iteration 62: 38.828468322753906
Iteration 63: 38.82834243774414
Iteration 64: 38.82829666137695
Iteration 65: 38.828189849853516
Iteration 66: 38.82819747924805
Iteration 67: 38.8282585144043
Iteration 68: 38.82832336425781
Iteration 69: 38.82821273803711
Iteration 70: 38.828311920166016
Iteration 71: 38.82816696166992
Iteration 72: 38.82829284667969
Iteration 73: 38.82819747924805
Iteration 74: 38.82817077636719
Iteration 75: 38.82817077636719
