Baby Seam Energies:
Seam 1: 82.8908351007849
Seam 2: 86.94834132958204
Seam 3: 87.24265065789223
Seam 4: 87.4894605576992
Seam 5: 87.8207725007087
Seam 6: 87.91583007574081
Seam 7: 88.14478875696659
Seam 8: 88.39864067174494
Seam 9: 88.5947151184082
Seam 10: 88.75265564024448
Seam 11: 89.12629179656506
Seam 12: 89.1561757773161
Seam 13: 89.17256860435009
Seam 14: 89.59492707252502
Seam 15: 89.66572666168213
Seam 16: 89.75389869511127
Seam 17: 89.89452551305294
Seam 18: 90.2455834299326
Seam 19: 90.41587959229946
Seam 20: 90.72691589593887
Seam 21: 90.79296953976154
Seam 22: 90.97094412147999
Seam 23: 91.1530436873436
Seam 24: 91.3307303339243
Seam 25: 91.44377946853638
Seam 26: 91.55382137000561
Seam 27: 91.78433428704739
Seam 28: 91.87313978374004
Seam 29: 92.07690830528736
Seam 30: 92.20046484470367
Seam 31: 92.27638252079487
Seam 32: 92.33186130225658
Seam 33: 92.41454660892487
Seam 34: 92.61321498453617
Seam 35: 92.69437907636166
Seam 36: 92.85040953755379
Seam 37: 92.99764561653137
Seam 38: 93.22348253428936
Seam 39: 93.33111394941807
Seam 40: 93.32746098935604
Seam 41: 93.4711665213108
Seam 42: 93.61187739670277
Seam 43: 93.72428143024445
Seam 44: 93.9215708822012
Seam 45: 94.08739091455936
Seam 46: 94.48942051827908
Seam 47: 94.536187723279
Seam 48: 94.80241252481937
Seam 49: 94.86706303060055
Seam 50: 95.03381107747555
Seam 51: 94.94660052657127
Seam 52: 95.12725113332272
Seam 53: 95.28217780590057
Seam 54: 95.5938378199935
Seam 55: 95.78356002271175
Seam 56: 96.21290490031242
Seam 57: 96.38390411064029
Seam 58: 96.69409121572971
Seam 59: 97.01802977919579
Seam 60: 97.44780200719833
Seam 61: 97.71233020722866
Seam 62: 98.04585894942284
Seam 63: 98.39598996937275
Seam 64: 98.9707111120224
Seam 65: 99.64948211610317
Seam 66: 100.42499928176403
Seam 67: 101.4909355789423
Seam 68: 100.9898940473795
Seam 69: 102.3265763670206
Seam 70: 102.58038941025734
Seam 71: 102.73981153964996
Seam 72: 103.08468413352966
Seam 73: 103.2710433602333
Seam 74: 103.28723189234734
Seam 75: 103.5034014582634
Seam 76: 103.71035361289978
Seam 77: 104.040755584836
Seam 78: 104.17356038093567
Seam 79: 104.26930791884661
Seam 80: 104.60124795138836
Seam 81: 104.67116878926754
Seam 82: 104.79694139957428
Seam 83: 104.91821017861366
Seam 84: 105.16269478201866
Seam 85: 105.16268980503082
Seam 86: 105.31502389907837
Seam 87: 105.59374818205833
Seam 88: 105.66161549091339
Seam 89: 105.95689472556114
Seam 90: 106.03308216482401
Seam 91: 106.0774262547493
Seam 92: 106.30946293473244
Seam 93: 106.50271660089493
Seam 94: 106.63062918186188
Seam 95: 106.62032264471054
Seam 96: 106.93134900927544
Seam 97: 107.20899870991707
Seam 98: 107.68686425685883
Seam 99: 107.8370246887207
Seam 100: 108.06919240951538
Seam 101: 108.26930010318756
Seam 102: 108.59910488128662
Seam 103: 108.7374874651432
Seam 104: 108.8373268917203
Seam 105: 108.92197597026825
Seam 106: 109.16738939285278
Seam 107: 109.27941909432411
Seam 108: 109.51620322465897
Seam 109: 109.69208885729313
Seam 110: 109.783057898283
Seam 111: 109.91892114281654
Seam 112: 110.1149206161499
Seam 113: 110.25033213198185
Seam 114: 110.37557926774025
Seam 115: 110.43903315067291
Seam 116: 110.63864597678185
Seam 117: 110.93255257606506
Seam 118: 111.15015533566475
Seam 119: 111.24507611989975
Seam 120: 111.40094181895256
Seam 121: 111.69699513912201
Seam 122: 111.90338721871376
Seam 123: 111.92883095145226
Seam 124: 112.07600596547127
Seam 125: 112.42549276351929
Seam 126: 112.71920394897461
Seam 127: 112.95069140195847
Seam 128: 113.0460744202137
Seam 129: 113.29486891627312
Seam 130: 113.47477984428406
Seam 131: 113.74675205349922
Seam 132: 113.99086093902588
Seam 133: 114.52018263936043
Seam 134: 114.6730283498764
Seam 135: 114.61173614859581
Seam 136: 115.13461989164352
Seam 137: 115.41824725270271
Seam 138: 115.56582161784172
Seam 139: 116.21010252833366
Seam 140: 116.5070343464613
Seam 141: 116.81612357497215
Seam 142: 117.33786335587502
Seam 143: 117.75594770908356
Seam 144: 117.63991302251816
Seam 145: 117.79648412391543
Seam 146: 117.80654567480087
Seam 147: 120.04998628795147
Seam 148: 120.26172183081508
Seam 149: 120.74215251579881
Seam 150: 121.18390513956547
Seam 151: 121.58861823007464
Seam 152: 122.37869922816753
Seam 153: 123.17620021477342
Seam 154: 123.36992050334811
Seam 155: 123.75553852319717
Seam 156: 124.10291097313166
Seam 157: 124.49490973725915
Seam 158: 124.6950204744935
Seam 159: 125.12269461899996
Seam 160: 125.54872103780508
Seam 161: 125.87403443455696
Seam 162: 126.24357200786471
Seam 163: 127.03487481176853
Seam 164: 127.27357659488916
Seam 165: 127.51099408045411
Seam 166: 127.94394091516733
Seam 167: 128.10255770012736
Seam 168: 128.62487196922302
Seam 169: 129.22800674661994
Seam 170: 129.50281024724245
Seam 171: 129.7442355044186
Seam 172: 129.97615565359592
Seam 173: 130.3565016388893
Seam 174: 130.95561239868402
Seam 175: 131.45741993188858
Seam 176: 131.5077405385673
Seam 177: 132.07109907269478
Seam 178: 132.4958540685475
Seam 179: 132.50305993855
Seam 180: 132.88797070086002
Seam 181: 133.0851943641901
Seam 182: 133.1908882819116
Seam 183: 133.3351745903492
Seam 184: 133.3923545628786
Seam 185: 133.58929239213467
Seam 186: 133.60639752447605
Seam 187: 133.9515901505947
Seam 188: 133.96004766225815
Seam 189: 134.1413400992751
Seam 190: 134.38786774873734
Seam 191: 134.56068971008062
Seam 192: 134.60535244643688
Seam 193: 134.6755143404007
Seam 194: 135.06791155040264
Seam 195: 135.14325162768364
Seam 196: 135.2544962093234
Seam 197: 135.43630197644234
Seam 198: 135.7212849855423
Seam 199: 135.9661546088755
Seam 200: 136.00008009374142
