Diana Seam Energies:
Seam 1: 9.08921647327952
Seam 2: 9.494769469718449
Seam 3: 9.65794166305568
Seam 4: 10.118486414430663
Seam 5: 10.40927545237355
Seam 6: 10.808557780459523
Seam 7: 10.918763582361862
Seam 8: 10.783399523526896
Seam 9: 10.638643191894516
Seam 10: 11.034381120000035
Seam 11: 11.520779852755368
Seam 12: 11.548096344573423
Seam 13: 11.6513010552153
Seam 14: 12.091984405065887
Seam 15: 11.970771775231697
Seam 16: 12.068591421819292
Seam 17: 12.570374115137383
Seam 18: 12.293403309420682
Seam 19: 12.664327314239927
Seam 20: 14.77600899443496
Seam 21: 18.80814930004999
Seam 22: 35.317713445052505
Seam 23: 35.78878663480282
Seam 24: 36.24534089490771
Seam 25: 36.92393189482391
Seam 26: 37.97573295701295
Seam 27: 38.53807666152716
Seam 28: 38.949786266312
Seam 29: 39.89590437244624
Seam 30: 40.63740696106106
Seam 31: 41.18698859587312
Seam 32: 41.549268276430666
Seam 33: 41.99376369547099
Seam 34: 42.79473421908915
Seam 35: 43.7030815128237
Seam 36: 44.22703062649816
Seam 37: 44.85696058347821
Seam 38: 45.490643410012126
Seam 39: 45.882675217464566
Seam 40: 46.606029849499464
Seam 41: 48.67445258423686
Seam 42: 50.767362620681524
Seam 43: 53.05872972868383
Seam 44: 54.1812238804996
Seam 45: 55.29678823798895
Seam 46: 57.488601587712765
Seam 47: 58.45464652776718
Seam 48: 60.00946714542806
Seam 49: 61.54342924617231
Seam 50: 63.75032424554229
Seam 51: 66.04672064445913
Seam 52: 68.69891999475658
Seam 53: 71.31103409081697
Seam 54: 72.64456040598452
Seam 55: 73.83276570402086
Seam 56: 74.40383291430771
Seam 57: 75.19878459535539
Seam 58: 76.3243000023067
Seam 59: 76.9267091024667
Seam 60: 78.42189924418926
Seam 61: 79.46804476156831
Seam 62: 81.07163278223015
Seam 63: 81.77427801862359
Seam 64: 83.04215641692281
Seam 65: 85.13131578452885
Seam 66: 87.45332789607346
Seam 67: 88.71305522881448
Seam 68: 90.7725952398032
Seam 69: 92.14187996089458
Seam 70: 92.19761040620506
Seam 71: 92.98535543680191
Seam 72: 94.2082743383944
Seam 73: 95.06894469074905
Seam 74: 95.71813470497727
Seam 75: 95.93702451139688
Seam 76: 96.40425035730004
Seam 77: 96.81373999454081
Seam 78: 96.94517527893186
Seam 79: 97.18885719403625
Seam 80: 97.5302743408829
Seam 81: 97.75254065170884
Seam 82: 97.93130118772388
Seam 83: 98.16674156859517
Seam 84: 98.20515632629395
Seam 85: 98.46143723651767
Seam 86: 98.54481122270226
Seam 87: 98.74940309301019
Seam 88: 98.89825218729675
Seam 89: 99.03469830751419
Seam 90: 99.31371507421136
Seam 91: 99.50970660895109
Seam 92: 99.62905194982886
Seam 93: 100.02913424372673
Seam 94: 100.18883434310555
Seam 95: 100.47249088808894
Seam 96: 100.65404276177287
Seam 97: 100.74491995945573
Seam 98: 100.86093757301569
Seam 99: 101.06549802049994
Seam 100: 101.16811934113503
Seam 101: 101.28064026683569
Seam 102: 101.67577082291245
Seam 103: 101.66232291981578
Seam 104: 101.91009268537164
Seam 105: 102.15323527343571
Seam 106: 102.19110460579395
Seam 107: 102.58044394850731
Seam 108: 102.80731883272529
Seam 109: 102.84682409837842
Seam 110: 103.14994649589062
Seam 111: 103.28932260721922
Seam 112: 103.48179910331964
Seam 113: 103.66708859801292
Seam 114: 103.88218936696649
Seam 115: 104.25064782053232
Seam 116: 104.5358534194529
Seam 117: 104.7834220379591
Seam 118: 104.91017553210258
Seam 119: 104.9441796913743
Seam 120: 105.25739883631468
Seam 121: 105.72791243344545
Seam 122: 105.78279008716345
Seam 123: 106.01216720975935
Seam 124: 106.13574356585741
Seam 125: 106.64568667858839
Seam 126: 106.93804559856653
Seam 127: 107.13242841511965
Seam 128: 107.3160235285759
Seam 129: 107.5085397362709
Seam 130: 107.43347804993391
Seam 131: 107.76382711529732
Seam 132: 108.01263587921858
Seam 133: 108.07896734029055
Seam 134: 108.31794779747725
Seam 135: 108.23566482961178
Seam 136: 108.31146627664566
Seam 137: 108.51492687873542
Seam 138: 108.72146540880203
Seam 139: 108.83552563935518
Seam 140: 109.04593154042959
Seam 141: 109.18538532406092
Seam 142: 109.46417538076639
Seam 143: 109.71757815778255
Seam 144: 109.83874120004475
Seam 145: 109.90845789760351
Seam 146: 110.16936998069286
Seam 147: 110.35384269803762
Seam 148: 110.60019160807133
Seam 149: 110.95977018028498
Seam 150: 111.2812842875719
Seam 151: 111.68293546326458
Seam 152: 111.71270041912794
Seam 153: 111.78542073816061
Seam 154: 112.16584951989353
Seam 155: 112.22241784632206
Seam 156: 112.42539896816015
Seam 157: 113.00717573612928
Seam 158: 113.06669545173645
Seam 159: 113.5324711278081
Seam 160: 113.99668514728546
Seam 161: 114.50272896885872
Seam 162: 114.69198646396399
Seam 163: 114.70233289338648
Seam 164: 115.43861388415098
Seam 165: 116.1437953505665
Seam 166: 116.54446533322334
Seam 167: 117.12054930627346
Seam 168: 117.70551880821586
Seam 169: 118.4278923124075
Seam 170: 119.50364689901471
Seam 171: 119.57671708613634
Seam 172: 120.99280707724392
Seam 173: 121.21245626360178
Seam 174: 122.33565177209675
Seam 175: 122.52095348015428
Seam 176: 122.52125531435013
Seam 177: 123.7970001026988
Seam 178: 123.85268964804709
Seam 179: 124.85451425611973
Seam 180: 124.98538429290056
Seam 181: 126.14258448965847
Seam 182: 127.36966436170042
Seam 183: 127.84882028214633
Seam 184: 128.693791301921
Seam 185: 129.04521218687296
Seam 186: 129.91493607498705
Seam 187: 130.9554859790951
Seam 188: 132.20154135860503
Seam 189: 133.035638153553
Seam 190: 133.4124751482159
Seam 191: 134.62491224892437
Seam 192: 134.82998087257147
Seam 193: 135.31903691776097
Seam 194: 136.8083846066147
Seam 195: 138.10883527621627
Seam 196: 139.4318468030542
Seam 197: 140.50440703332424
Seam 198: 140.50699586048722
Seam 199: 142.49883315712214
Seam 200: 142.53372586332262
