Snowman Seam Energies:
Seam 1: 7.369277143217914
Seam 2: 7.518910697865067
Seam 3: 7.68324513011612
Seam 4: 7.809233400621451
Seam 5: 7.780350546468981
Seam 6: 7.830832090228796
Seam 7: 8.113512235962844
Seam 8: 8.245151570532471
Seam 9: 8.463591722102137
Seam 10: 8.534962901845574
Seam 11: 8.671587970806286
Seam 12: 8.818021698505618
Seam 13: 8.791869930573739
Seam 14: 8.924273779033683
Seam 15: 8.905134069849737
Seam 16: 8.995142090134323
Seam 17: 9.097800982184708
Seam 18: 9.039684238494374
Seam 19: 9.31546361243818
Seam 20: 9.51509269385133
Seam 21: 9.631843690644018
Seam 22: 9.44942206738051
Seam 23: 9.500978618278168
Seam 24: 9.53083706239704
Seam 25: 9.648293986101635
Seam 26: 9.55350521497894
Seam 27: 11.949791246908717
Seam 28: 14.497288952232338
Seam 29: 25.43307245138567
Seam 30: 37.19638902321458
Seam 31: 38.37320991884917
Seam 32: 39.58531411155127
Seam 33: 40.5812322916463
Seam 34: 41.62606546271127
Seam 35: 42.415793359745294
Seam 36: 43.39622494019568
Seam 37: 44.34495700150728
Seam 38: 45.701831663027406
Seam 39: 45.81370734749362
Seam 40: 46.677527447696775
Seam 41: 48.643430844298564
Seam 42: 48.863211191259325
Seam 43: 56.33676076028496
Seam 44: 64.22049236355815
Seam 45: 66.57025256135967
Seam 46: 73.40560510661453
Seam 47: 77.8244777622167
Seam 48: 84.96679093898274
Seam 49: 86.78602708270773
Seam 50: 87.26585645601153
Seam 51: 87.99090577987954
Seam 52: 88.87608159892261
Seam 53: 91.08566734474152
Seam 54: 91.70010341564193
Seam 55: 92.96450609713793
Seam 56: 93.24501665309072
Seam 57: 94.06429352751002
Seam 58: 94.86600299458951
Seam 59: 95.02554559940472
Seam 60: 95.46667855512351
Seam 61: 95.49142425507307
Seam 62: 95.91861532442272
Seam 63: 96.27712792344391
Seam 64: 96.73643397819251
Seam 65: 97.49890828039497
Seam 66: 98.10622264072299
Seam 67: 99.39435105677694
Seam 68: 99.71036089491099
Seam 69: 99.82150293886662
Seam 70: 100.5026339078322
Seam 71: 100.96593218878843
Seam 72: 101.15541987679899
Seam 73: 101.57344394177198
Seam 74: 101.59052917733788
Seam 75: 101.71601375425234
Seam 76: 102.85769286192954
Seam 77: 103.30014030868188
Seam 78: 103.3515414185822
Seam 79: 103.66720812488347
Seam 80: 104.14621208701283
Seam 81: 104.40223066881299
Seam 82: 104.47611223743297
Seam 83: 104.5864329887554
Seam 84: 104.58856763225049
Seam 85: 104.78610649891198
Seam 86: 105.64795725978911
Seam 87: 105.85319015593268
Seam 88: 105.93956952728331
Seam 89: 106.08708941959776
Seam 90: 106.27207859791815
Seam 91: 106.36429050471634
Seam 92: 106.77565388800576
Seam 93: 107.04069875087589
Seam 94: 107.07444001804106
Seam 95: 107.33861191570759
Seam 96: 107.77022684691474
Seam 97: 107.85812515602447
Seam 98: 108.16461237333715
Seam 99: 108.23072742298245
Seam 100: 108.59471007063985
Seam 101: 109.05164549592882
Seam 102: 109.10466020554304
Seam 103: 109.10851033683866
Seam 104: 109.33004818484187
Seam 105: 109.56757234875113
Seam 106: 109.69740927685052
Seam 107: 110.00959519203752
Seam 108: 110.38059708569199
Seam 109: 110.46995973493904
Seam 110: 110.53668991103768
Seam 111: 110.74783072806895
Seam 112: 110.91421482199803
Seam 113: 110.91547626629472
Seam 114: 111.02512332005426
Seam 115: 111.0888768855948
Seam 116: 111.09083946794271
Seam 117: 111.33415990881622
Seam 118: 111.68548730388284
Seam 119: 111.86704596248455
Seam 120: 111.89953738893382
Seam 121: 112.01790583878756
Seam 122: 112.05645348783582
Seam 123: 112.35797121282667
Seam 124: 112.41359136812389
Seam 125: 112.50389463780448
Seam 126: 112.52812098897994
Seam 127: 112.6568531584926
Seam 128: 112.67223381157964
Seam 129: 112.918501207605
Seam 130: 113.16476792097092
Seam 131: 113.29972749203444
Seam 132: 113.42067313101143
Seam 133: 113.45941120479256
Seam 134: 113.581636948511
Seam 135: 113.51276242546737
Seam 136: 113.70822327025235
Seam 137: 113.76608964055777
Seam 138: 113.78687871806324
Seam 139: 113.87002853909507
Seam 140: 113.8934868532233
Seam 141: 113.86593797896057
Seam 142: 113.93265890609473
Seam 143: 114.09151882864535
Seam 144: 114.20174015127122
Seam 145: 114.4503691168502
Seam 146: 114.71723983623087
Seam 147: 114.81309196725488
Seam 148: 114.90659065917134
Seam 149: 115.04479196947068
Seam 150: 115.13871334958822
Seam 151: 115.16714762989432
Seam 152: 115.23204759322107
Seam 153: 115.27027965523303
Seam 154: 115.44614073820412
Seam 155: 115.44854518584907
